model,alpha,condition,coverage_target,baseline_accuracy,combined_accuracy,confidence_accuracy,combined_coverage,confidence_coverage,combined_gain_vs_baseline_pp,confidence_gain_vs_baseline_pp,lift_over_confidence_pp,source,source_path
llama3.1-8b,0.5,IC,0.75,0.33152173913043476,0.3767123287671233,0.3150684931506849,0.7934782608695652,0.7934782608695652,4.519058963668854,-1.6453245979749842,6.164383561643838,root_alpha_0.5,/home/yikunh2/Uncertainty/results/llama3.1-8b_conflict_prediction.json
llama3.1-8b,0.5,IC,0.5,0.33152173913043476,0.48484848484848486,0.30303030303030304,0.5380434782608695,0.5380434782608695,15.332674571805011,-2.8491436100131717,18.181818181818183,root_alpha_0.5,/home/yikunh2/Uncertainty/results/llama3.1-8b_conflict_prediction.json
llama3.1-8b,0.5,IC,0.25,0.33152173913043476,0.6363636363636364,0.30434782608695654,0.2391304347826087,0.25,30.48418972332016,-2.7173913043478217,33.201581027667984,root_alpha_0.5,/home/yikunh2/Uncertainty/results/llama3.1-8b_conflict_prediction.json
llama3.1-8b,0.5,ICC,0.75,0.6032608695652174,0.7028985507246377,0.644927536231884,0.75,0.75,9.96376811594203,4.1666666666666625,5.797101449275366,root_alpha_0.5,/home/yikunh2/Uncertainty/results/llama3.1-8b_conflict_prediction.json
llama3.1-8b,0.5,ICC,0.5,0.6032608695652174,0.7717391304347826,0.6774193548387096,0.5,0.5054347826086957,16.84782608695652,7.4158485273492225,9.431977559607297,root_alpha_0.5,/home/yikunh2/Uncertainty/results/llama3.1-8b_conflict_prediction.json
llama3.1-8b,0.5,ICC,0.25,0.6032608695652174,0.8909090909090909,0.7017543859649122,0.29891304347826086,0.30978260869565216,28.764822134387348,9.849351639969484,18.915470494417864,root_alpha_0.5,/home/yikunh2/Uncertainty/results/llama3.1-8b_conflict_prediction.json
meditron3-8b,0.5,IC,0.75,0.3695652173913043,0.4206896551724138,0.38620689655172413,0.7880434782608695,0.7880434782608695,5.112443778110948,1.6641679160419809,3.448275862068967,root_alpha_0.5,/home/yikunh2/Uncertainty/results/meditron3-8b_conflict_prediction.json
meditron3-8b,0.5,IC,0.5,0.3695652173913043,0.5376344086021505,0.3655913978494624,0.5054347826086957,0.5054347826086957,16.80691912108462,-0.397381954184195,17.204301075268813,root_alpha_0.5,/home/yikunh2/Uncertainty/results/meditron3-8b_conflict_prediction.json
meditron3-8b,0.5,IC,0.25,0.3695652173913043,0.6190476190476191,0.2619047619047619,0.22826086956521738,0.22826086956521738,24.948240165631475,-10.76604554865424,35.714285714285715,root_alpha_0.5,/home/yikunh2/Uncertainty/results/meditron3-8b_conflict_prediction.json
meditron3-8b,0.5,ICC,0.75,0.6902173913043478,0.7801418439716312,0.75177304964539,0.7663043478260869,0.7663043478260869,8.992445266728344,6.155565834104227,2.8368794326241176,root_alpha_0.5,/home/yikunh2/Uncertainty/results/meditron3-8b_conflict_prediction.json
meditron3-8b,0.5,ICC,0.5,0.6902173913043478,0.8777777777777778,0.7608695652173914,0.4891304347826087,0.5,18.756038647342997,7.0652173913043566,11.690821256038642,root_alpha_0.5,/home/yikunh2/Uncertainty/results/meditron3-8b_conflict_prediction.json
meditron3-8b,0.5,ICC,0.25,0.6902173913043478,0.9761904761904762,0.7906976744186046,0.22826086956521738,0.23369565217391305,28.59730848861284,10.048028311425682,18.549280177187157,root_alpha_0.5,/home/yikunh2/Uncertainty/results/meditron3-8b_conflict_prediction.json
phi4-14b,0.5,IC,0.75,0.44565217391304346,0.48872180451127817,0.45112781954887216,0.7228260869565217,0.7228260869565217,4.306963059823471,0.5475645635828696,3.7593984962406015,root_alpha_0.5,/home/yikunh2/Uncertainty/results/phi4-14b_conflict_prediction.json
phi4-14b,0.5,IC,0.5,0.44565217391304346,0.6153846153846154,0.4177215189873418,0.42391304347826086,0.42934782608695654,16.973244147157196,-2.793065492570168,19.766309639727364,root_alpha_0.5,/home/yikunh2/Uncertainty/results/phi4-14b_conflict_prediction.json
phi4-14b,0.5,IC,0.25,0.44565217391304346,0.8387096774193549,0.3387096774193548,0.16847826086956522,0.33695652173913043,39.30575035063114,-10.694249649368864,50.0,root_alpha_0.5,/home/yikunh2/Uncertainty/results/phi4-14b_conflict_prediction.json
phi4-14b,0.5,ICC,0.75,0.6413043478260869,0.7686567164179104,0.6865671641791045,0.7282608695652174,0.7282608695652174,12.735236859182352,4.526281635301754,8.208955223880599,root_alpha_0.5,/home/yikunh2/Uncertainty/results/phi4-14b_conflict_prediction.json
phi4-14b,0.5,ICC,0.5,0.6413043478260869,0.8505747126436781,0.6666666666666666,0.47282608695652173,0.47282608695652173,20.92703648175912,2.536231884057971,18.39080459770115,root_alpha_0.5,/home/yikunh2/Uncertainty/results/phi4-14b_conflict_prediction.json
phi4-14b,0.5,ICC,0.25,0.6413043478260869,0.8478260869565217,0.717391304347826,0.25,0.25,20.65217391304348,7.608695652173914,13.043478260869568,root_alpha_0.5,/home/yikunh2/Uncertainty/results/phi4-14b_conflict_prediction.json
qwen3-4b,0.5,IC,0.75,0.41847826086956524,0.4513888888888889,0.3472222222222222,0.782608695652174,0.782608695652174,3.291062801932365,-7.125603864734304,10.416666666666668,root_alpha_0.5,/home/yikunh2/Uncertainty/results/qwen3-4b_conflict_prediction.json
qwen3-4b,0.5,IC,0.5,0.41847826086956524,0.5952380952380952,0.3472222222222222,0.45652173913043476,0.782608695652174,17.675983436853,-7.125603864734304,24.801587301587304,root_alpha_0.5,/home/yikunh2/Uncertainty/results/qwen3-4b_conflict_prediction.json
qwen3-4b,0.5,IC,0.25,0.41847826086956524,0.6666666666666666,0.3472222222222222,0.2608695652173913,0.782608695652174,24.818840579710137,-7.125603864734304,31.944444444444443,root_alpha_0.5,/home/yikunh2/Uncertainty/results/qwen3-4b_conflict_prediction.json
qwen3-4b,0.5,ICC,0.75,0.717391304347826,0.7755102040816326,0.7635135135135135,0.7989130434782609,0.8043478260869565,5.811889973380657,4.612220916568743,1.199669056811914,root_alpha_0.5,/home/yikunh2/Uncertainty/results/qwen3-4b_conflict_prediction.json
qwen3-4b,0.5,ICC,0.5,0.717391304347826,0.8765432098765432,0.7720588235294118,0.44021739130434784,0.7391304347826086,15.915190552871717,5.466751918158574,10.448438634713142,root_alpha_0.5,/home/yikunh2/Uncertainty/results/qwen3-4b_conflict_prediction.json
qwen3-4b,0.5,ICC,0.25,0.717391304347826,0.975609756097561,0.7720588235294118,0.22282608695652173,0.7391304347826086,25.82184517497349,5.466751918158574,20.355093256814914,root_alpha_0.5,/home/yikunh2/Uncertainty/results/qwen3-4b_conflict_prediction.json
qwen3-8b,0.5,IC,0.75,0.5434782608695652,0.6319444444444444,0.5555555555555556,0.782608695652174,0.782608695652174,8.846618357487923,1.2077294685990392,7.638888888888884,root_alpha_0.5,/home/yikunh2/Uncertainty/results/qwen3-8b_conflict_prediction.json
qwen3-8b,0.5,IC,0.5,0.5434782608695652,0.7525773195876289,0.594059405940594,0.5271739130434783,0.5489130434782609,20.909905871806366,5.058114507102884,15.851791364703482,root_alpha_0.5,/home/yikunh2/Uncertainty/results/qwen3-8b_conflict_prediction.json
qwen3-8b,0.5,IC,0.25,0.5434782608695652,0.8048780487804879,0.5977011494252874,0.22282608695652173,0.47282608695652173,26.13997879109227,5.422288855572221,20.717689935520045,root_alpha_0.5,/home/yikunh2/Uncertainty/results/qwen3-8b_conflict_prediction.json
qwen3-8b,0.5,ICC,0.75,0.7663043478260869,0.8671328671328671,0.8194444444444444,0.7771739130434783,0.782608695652174,10.082851930678016,5.31400966183575,4.768842268842266,root_alpha_0.5,/home/yikunh2/Uncertainty/results/qwen3-8b_conflict_prediction.json
qwen3-8b,0.5,ICC,0.5,0.7663043478260869,0.9603960396039604,0.8512396694214877,0.5489130434782609,0.657608695652174,19.409169177787344,8.493532159540074,10.91563701824727,root_alpha_0.5,/home/yikunh2/Uncertainty/results/qwen3-8b_conflict_prediction.json
qwen3-8b,0.5,ICC,0.25,0.7663043478260869,0.9803921568627451,0.8512396694214877,0.27717391304347827,0.657608695652174,21.408780903665814,8.493532159540074,12.91524874412574,root_alpha_0.5,/home/yikunh2/Uncertainty/results/qwen3-8b_conflict_prediction.json
qwen3.5-9b,0.5,IC,0.75,0.3695652173913043,0.464,0.3488372093023256,0.6793478260869565,0.7010869565217391,9.44347826086957,-2.072800808897873,11.516279069767442,root_alpha_0.5,/home/yikunh2/Uncertainty/results/qwen3.5-9b_conflict_prediction.json
qwen3.5-9b,0.5,IC,0.5,0.3695652173913043,0.6623376623376623,0.3950617283950617,0.41847826086956524,0.44021739130434784,29.277244494635802,2.5496511003757383,26.72759339426006,root_alpha_0.5,/home/yikunh2/Uncertainty/results/qwen3.5-9b_conflict_prediction.json
qwen3.5-9b,0.5,IC,0.25,0.3695652173913043,0.7894736842105263,0.5,0.20652173913043478,0.2391304347826087,41.9908466819222,13.043478260869568,28.947368421052634,root_alpha_0.5,/home/yikunh2/Uncertainty/results/qwen3.5-9b_conflict_prediction.json
qwen3.5-9b,0.5,ICC,0.75,0.782608695652174,0.8787878787878788,0.8888888888888888,0.717391304347826,0.7336956521739131,9.617918313570485,10.62801932367149,-1.0101010101010055,root_alpha_0.5,/home/yikunh2/Uncertainty/results/qwen3.5-9b_conflict_prediction.json
qwen3.5-9b,0.5,ICC,0.5,0.782608695652174,0.9438202247191011,0.9285714285714286,0.483695652173913,0.532608695652174,16.121152906692714,14.596273291925465,1.5248796147672494,root_alpha_0.5,/home/yikunh2/Uncertainty/results/qwen3.5-9b_conflict_prediction.json
qwen3.5-9b,0.5,ICC,0.25,0.782608695652174,0.975609756097561,0.9512195121951219,0.22282608695652173,0.22282608695652173,19.3001060445387,16.861081654294797,2.4390243902439046,root_alpha_0.5,/home/yikunh2/Uncertainty/results/qwen3.5-9b_conflict_prediction.json
